Package Name,License,Homepage,Pypi Link,Author,Summary,Docker images
anyio,MIT License,,https://pypi.org/project/anyio/,Alex Grönholm <alex.gronholm@nextday.fi>,High level compatibility layer for multiple asynchronous event loop implementations,"demisto/graphql, demisto/py3-native, demisto/commvault, demisto/py3-tools, demisto/fastapi, demisto/vendors-sdk, demisto/ansible-runner, demisto/py3-tools-ubi, demisto/google-vision-api"
anyrun-sdk,Apache v2.0,,https://pypi.org/project/anyrun-sdk/,Semen Shalnev <anyrun-integrations@any.run>,This is the official Python client library for ANY.RUN. Automate management of ANY.RUN REST endpoints,demisto/anyrun-sdk
appdirs,MIT License,http://github.com/ActiveState/appdirs,https://pypi.org/project/appdirs/,Trent Mick; Sridhar Ratnakumar; Jeff Rouse trentm@gmail.com; github@srid.name; jr@its.to,"A small Python module for determining appropriate platform-specific dirs, e.g. a ""user data dir"".","demisto/psycopg2, demisto/pcap, demisto/pcap-http-extractor, demisto/pcap-miner"
applicationinsights,MIT,https://github.com/Microsoft/ApplicationInsights-Python,https://pypi.org/project/applicationinsights/,Microsoft appinsightssdk@microsoft.com,This project extends the Application Insights API surface to support Python.,demisto/ansible-runner
argcomplete,Apache Software License,,https://pypi.org/project/argcomplete/,Andrey Kislyuk kislyuk@gmail.com,Bash tab completion for argparse,demisto/ansible-runner
argon2-cffi,MIT License,,https://pypi.org/project/argon2-cffi/,Hynek Schlawack <hs@ox.cx>,Argon2 for Python,"demisto/py3-native, demisto/py3-tools, demisto/py3-tools-ubi"
argon2-cffi-bindings,MIT License,https://github.com/hynek/argon2-cffi-bindings,https://pypi.org/project/argon2-cffi-bindings/,Hynek Schlawack hs@ox.cx,Low-level CFFI bindings for Argon2,"demisto/py3-native, demisto/py3-tools, demisto/py3-tools-ubi"
argus-api,ISC,https://mnemonic.io,https://pypi.org/project/argus-api/,mnemonic opensource@mnemonic.no,SDK for the Argus API,demisto/argus-toolbelt
armorblox-sdk,Apache Software License,https://github.com/armorblox/armorblox-python-sdk,https://pypi.org/project/armorblox-sdk/,Rajat Upadhyaya 45485+urajat@users.noreply.github.com,Armorblox SDK for Python,demisto/armorblox
arrow,Apache Software License,https://arrow.readthedocs.io,https://pypi.org/project/arrow/,Chris Smith crsmithdev@gmail.com,Better dates & times for Python,"demisto/python3-arrow, demisto/python_pancloud, demisto/py3-native, demisto/py3-tools, demisto/sane-doc-reports, demisto/py3-tools-ubi"
asana,MIT License,http://github.com/asana/python-asana,https://pypi.org/project/asana/,"Asana, Inc",Asana API client,"demisto/asana, demisto/py3-native, demisto/py3-tools, demisto/py3-tools-ubi"
asciitree,MIT,http://github.com/mbr/asciitree,https://pypi.org/project/asciitree/,Marc Brinkmann git@marcbrinkmann.de,Draws ASCII trees.,demisto/keepercommander
asn1crypto,MIT License,https://github.com/wbond/asn1crypto,https://pypi.org/project/asn1crypto/,wbond will@wbond.net,"Fast ASN.1 parser and serializer with definitions for private keys, public keys, certificates, CRL, OCSP, CMS, PKCS#3, PKCS#7, PKCS#8, PKCS#12, PKCS#5, X.509 and TSP","demisto/symantec_mss, demisto/exchangelib, demisto/ews, demisto/dxl2, demisto/smime-encrypt, demisto/dxl, demisto/py-ews, demisto/axonius, demisto/py3-native, demisto/snowflake"
astroid,GNU Lesser General Public License v2 (LGPLv2),https://github.com/PyCQA/astroid,https://pypi.org/project/astroid/,Python Code Quality Authority code-quality@python.org,An abstract syntax tree for Python with inference support.,"demisto/xsoar-tools-hf, demisto/xsoar-tools, demisto/demisto-sdk"
async-timeout,Apache Software License,https://github.com/aio-libs/async_timeout/,https://pypi.org/project/async-timeout/,Andrew Svetlov andrew.svetlov@gmail.com,Timeout context manager for asyncio programs,"demisto/xsoar-tools-hf, demisto/threatconnect-tcex, demisto/aiohttp"
attrs,MIT License,https://www.attrs.org/,https://pypi.org/project/attrs/,Hynek Schlawack hs@ox.cx,Classes Without Boilerplate,"demisto/xgboost, demisto/dl-languages, demisto/xsoar-tools-hf, demisto/pymisp, demisto/threatconnect-tcex, demisto/aiohttp, demisto/zeep, demisto/py3-native, demisto/carbon-black-cloud, demisto/py3-tools, demisto/chromium, demisto/ansible-runner, demisto/xsoar-tools, demisto/slack, demisto/anyrun-sdk, demisto/netutils, demisto/slackv3, demisto/auth-utils, demisto/demisto-sdk"
autopep8,MIT License,https://github.com/hhatto/autopep8,https://pypi.org/project/autopep8/,Hideo Hattori hhatto.jp@gmail.com,A tool that automatically formats Python code to conform to the PEP 8 style guide,"demisto/xsoar-tools-hf, demisto/xsoar-tools, demisto/demisto-sdk"
av,BSD License,,https://pypi.org/project/av/,"WyattBlue <wyattblue@auto-editor.com>, Jeremy Lainé <jeremy.laine@m4x.org>",Pythonic bindings for FFmpeg's libraries.,demisto/keepercommander
avro-python3,Apache Software License,https://avro.apache.org/,https://pypi.org/project/avro-python3/,Apache Avro dev@avro.apache.org,Avro is a serialization and RPC framework.,demisto/vendors-sdk
axonius-api-client,MIT License,https://github.com/Axonius/axonius_api_client,https://pypi.org/project/axonius-api-client/,Axonius support@axonius.com,Axonius API client for Python,demisto/axonius
azure-cli-core,MIT License,https://github.com/Azure/azure-cli,https://pypi.org/project/azure-cli-core/,Microsoft Corporation azpycli@microsoft.com,Microsoft Azure Command-Line Tools Core Module,demisto/ansible-runner
azure-cli-nspkg,MIT License,https://github.com/Azure/azure-cli,https://pypi.org/project/azure-cli-nspkg/,Microsoft Corporation azpycli@microsoft.com,Microsoft Azure CLI Namespace Package,demisto/ansible-runner
azure-cli-telemetry,MIT License,https://github.com/Azure/azure-cli,https://pypi.org/project/azure-cli-telemetry/,Microsoft Corporation azpycli@microsoft.com,Microsoft Azure CLI Telemetry Package,demisto/ansible-runner
azure-common,MIT License,https://github.com/Azure/azure-sdk-for-python,https://pypi.org/project/azure-common/,Microsoft Corporation azpysdkhelp@microsoft.com,Microsoft Azure Client Library for Python (Common),demisto/ansible-runner
azure-core,MIT License,https://github.com/Azure/azure-sdk-for-python/tree/main/sdk/core/azure-core,https://pypi.org/project/azure-core/,Microsoft Corporation azpysdkhelp@microsoft.com,Microsoft Azure Core Library for Python,"demisto/azure-kusto-data, demisto/py3-native, demisto/ansible-runner, demisto/auth-utils"
azure-graphrbac,MIT License,https://github.com/Azure/azure-sdk-for-python,https://pypi.org/project/azure-graphrbac/,Microsoft Corporation azpysdkhelp@microsoft.com,Microsoft Azure Graph RBAC Client Library for Python,demisto/ansible-runner
azure-identity,MIT License,https://github.com/Azure/azure-sdk-for-python/tree/main/sdk/identity/azure-identity,https://pypi.org/project/azure-identity/,Microsoft Corporation azpysdkhelp@microsoft.com,Microsoft Azure Identity Library for Python,"demisto/azure-kusto-data, demisto/py3-native, demisto/ansible-runner, demisto/auth-utils"
azure-keyvault,MIT License,https://github.com/Azure/azure-sdk-for-python/tree/main/sdk/keyvault/azure-keyvault,https://pypi.org/project/azure-keyvault/,Microsoft Corporation azurekeyvault@microsoft.com,Microsoft Azure Key Vault Client Libraries for Python,demisto/ansible-runner
azure-kusto-data,MIT License,https://github.com/Azure/azure-kusto-python,https://pypi.org/project/azure-kusto-data/,Microsoft Corporation kustalk@microsoft.com,Kusto Data Client,"demisto/azure-kusto-data, demisto/py3-native, demisto/auth-utils"
azure-mgmt-apimanagement,MIT License,https://github.com/Azure/azure-sdk-for-python,https://pypi.org/project/azure-mgmt-apimanagement/,Microsoft Corporation azpysdkhelp@microsoft.com,Microsoft Azure API Management Client Library for Python,demisto/ansible-runner
azure-mgmt-authorization,MIT License,https://github.com/Azure/azure-sdk-for-python,https://pypi.org/project/azure-mgmt-authorization/,Microsoft Corporation azpysdkhelp@microsoft.com,Microsoft Azure Authorization Management Client Library for Python,demisto/ansible-runner
azure-mgmt-automation,MIT License,https://github.com/Azure/azure-sdk-for-python,https://pypi.org/project/azure-mgmt-automation/,Microsoft Corporation azpysdkhelp@microsoft.com,Microsoft Azure Automation Client Library for Python,demisto/ansible-runner
azure-mgmt-batch,MIT License,https://github.com/Azure/azure-sdk-for-python,https://pypi.org/project/azure-mgmt-batch/,Microsoft Corporation azpysdkhelp@microsoft.com,Microsoft Azure Batch Management Client Library for Python,demisto/ansible-runner
azure-mgmt-cdn,MIT License,https://github.com/Azure/azure-sdk-for-python,https://pypi.org/project/azure-mgmt-cdn/,Microsoft Corporation azpysdkhelp@microsoft.com,Microsoft Azure CDN Management Client Library for Python,demisto/ansible-runner
azure-mgmt-compute,MIT License,https://github.com/Azure/azure-sdk-for-python,https://pypi.org/project/azure-mgmt-compute/,Microsoft Corporation azpysdkhelp@microsoft.com,Microsoft Azure Compute Management Client Library for Python,demisto/ansible-runner
azure-mgmt-containerinstance,MIT License,https://github.com/Azure/azure-sdk-for-python,https://pypi.org/project/azure-mgmt-containerinstance/,Microsoft Corporation azpysdkhelp@microsoft.com,Microsoft Azure Container Instance Client Library for Python,demisto/ansible-runner
azure-mgmt-containerregistry,MIT License,https://github.com/Azure/azure-sdk-for-python,https://pypi.org/project/azure-mgmt-containerregistry/,Microsoft Corporation azpysdkhelp@microsoft.com,Microsoft Azure Container Registry Client Library for Python,demisto/ansible-runner
azure-mgmt-containerservice,MIT License,https://github.com/Azure/azure-sdk-for-python,https://pypi.org/project/azure-mgmt-containerservice/,Microsoft Corporation azpysdkhelp@microsoft.com,Microsoft Azure Container Service Management Client Library for Python,demisto/ansible-runner
azure-mgmt-core,MIT License,https://github.com/Azure/azure-sdk-for-python/tree/main/sdk/core/azure-mgmt-core,https://pypi.org/project/azure-mgmt-core/,Microsoft Corporation azpysdkhelp@microsoft.com,Microsoft Azure Management Core Library for Python,demisto/ansible-runner
azure-mgmt-cosmosdb,MIT License,https://github.com/Azure/azure-sdk-for-python,https://pypi.org/project/azure-mgmt-cosmosdb/,Microsoft Corporation azpysdkhelp@microsoft.com,Microsoft Azure Cosmos DB Management Client Library for Python,demisto/ansible-runner
azure-mgmt-datafactory,MIT License,https://github.com/Azure/azure-sdk-for-python,https://pypi.org/project/azure-mgmt-datafactory/,Microsoft Corporation azpysdkhelp@microsoft.com,Microsoft Azure Data Factory Management Client Library for Python,demisto/ansible-runner
azure-mgmt-devtestlabs,MIT License,https://github.com/Azure/azure-sdk-for-python,https://pypi.org/project/azure-mgmt-devtestlabs/,Microsoft Corporation azpysdkhelp@microsoft.com,Microsoft Azure DevTestLabs Management Client Library for Python,demisto/ansible-runner
azure-mgmt-dns,MIT License,https://github.com/Azure/azure-sdk-for-python,https://pypi.org/project/azure-mgmt-dns/,Microsoft Corporation azpysdkhelp@microsoft.com,Microsoft Azure DNS Management Client Library for Python,demisto/ansible-runner
azure-mgmt-eventhub,MIT License,https://github.com/Azure/azure-sdk-for-python,https://pypi.org/project/azure-mgmt-eventhub/,Microsoft Corporation azpysdkhelp@microsoft.com,Microsoft Azure Event Hub Management Client Library for Python,demisto/ansible-runner
azure-mgmt-hdinsight,MIT License,https://github.com/Azure/azure-sdk-for-python,https://pypi.org/project/azure-mgmt-hdinsight/,Microsoft Corporation azpysdkhelp@microsoft.com,Microsoft Azure HDInsight Management Client Library for Python,demisto/ansible-runner
azure-mgmt-iothub,MIT License,https://github.com/Azure/azure-sdk-for-python,https://pypi.org/project/azure-mgmt-iothub/,Microsoft Corporation azpysdkhelp@microsoft.com,Microsoft Azure IoT Hub Management Client Library for Python,demisto/ansible-runner
azure-mgmt-keyvault,MIT License,https://github.com/Azure/azure-sdk-for-python,https://pypi.org/project/azure-mgmt-keyvault/,Microsoft Corporation azpysdkhelp@microsoft.com,Microsoft Azure Key Vault Management Client Library for Python,demisto/ansible-runner
azure-mgmt-loganalytics,MIT License,https://github.com/Azure/azure-sdk-for-python,https://pypi.org/project/azure-mgmt-loganalytics/,Microsoft Corporation azpysdkhelp@microsoft.com,Microsoft Azure Log Analytics Management Client Library for Python,demisto/ansible-runner
azure-mgmt-managedservices,MIT License,https://github.com/Azure/azure-sdk-for-python,https://pypi.org/project/azure-mgmt-managedservices/,Microsoft Corporation azpysdkhelp@microsoft.com,Microsoft Azure Managed Services Client Library for Python,demisto/ansible-runner
azure-mgmt-managementgroups,MIT License,https://github.com/Azure/azure-sdk-for-python,https://pypi.org/project/azure-mgmt-managementgroups/,Microsoft Corporation azpysdkhelp@microsoft.com,Microsoft Azure Management Groups Client Library for Python,demisto/ansible-runner
azure-mgmt-marketplaceordering,MIT License,https://github.com/Azure/azure-sdk-for-python,https://pypi.org/project/azure-mgmt-marketplaceordering/,Microsoft Corporation azpysdkhelp@microsoft.com,Microsoft Azure Market Place Ordering Client Library for Python,demisto/ansible-runner
azure-mgmt-monitor,MIT License,https://github.com/Azure/azure-sdk-for-python,https://pypi.org/project/azure-mgmt-monitor/,Microsoft Corporation azpysdkhelp@microsoft.com,Microsoft Azure Monitor Client Library for Python,demisto/ansible-runner
azure-mgmt-network,MIT License,https://github.com/Azure/azure-sdk-for-python,https://pypi.org/project/azure-mgmt-network/,Microsoft Corporation azpysdkhelp@microsoft.com,Microsoft Azure Network Management Client Library for Python,demisto/ansible-runner
azure-mgmt-notificationhubs,MIT License,https://github.com/Azure/azure-sdk-for-python,https://pypi.org/project/azure-mgmt-notificationhubs/,Microsoft Corporation azpysdkhelp@microsoft.com,Microsoft Azure Notification Hubs Management Client Library for Python,demisto/ansible-runner
azure-mgmt-nspkg,MIT License,https://github.com/Azure/azure-sdk-for-python,https://pypi.org/project/azure-mgmt-nspkg/,Microsoft Corporation azpysdkhelp@microsoft.com,Microsoft Azure Resource Management Namespace Package [Internal],demisto/ansible-runner
azure-mgmt-privatedns,MIT License,https://github.com/Azure/azure-sdk-for-python,https://pypi.org/project/azure-mgmt-privatedns/,Microsoft Corporation azpysdkhelp@microsoft.com,Microsoft Azure DNS Private Zones Client Library for Python,demisto/ansible-runner
azure-mgmt-rdbms,MIT License,https://github.com/Azure/azure-sdk-for-python,https://pypi.org/project/azure-mgmt-rdbms/,Microsoft Corporation azpysdkhelp@microsoft.com,Microsoft Azure RDBMS Management Client Library for Python,demisto/ansible-runner
azure-mgmt-recoveryservices,MIT License,https://github.com/Azure/azure-sdk-for-python,https://pypi.org/project/azure-mgmt-recoveryservices/,Microsoft Corporation azpysdkhelp@microsoft.com,Microsoft Azure Recovery Services Client Library for Python,demisto/ansible-runner
azure-mgmt-recoveryservicesbackup,MIT License,https://github.com/Azure/azure-sdk-for-python,https://pypi.org/project/azure-mgmt-recoveryservicesbackup/,Microsoft Corporation azpysdkhelp@microsoft.com,Microsoft Azure Recovery Services Backup Management Client Library for Python,demisto/ansible-runner
azure-mgmt-redis,MIT License,https://github.com/Azure/azure-sdk-for-python,https://pypi.org/project/azure-mgmt-redis/,Microsoft Corporation azpysdkhelp@microsoft.com,Microsoft Azure Redis Cache Management Client Library for Python,demisto/ansible-runner
azure-mgmt-resource,MIT License,https://github.com/Azure/azure-sdk-for-python,https://pypi.org/project/azure-mgmt-resource/,Microsoft Corporation azpysdkhelp@microsoft.com,Microsoft Azure Resource Management Client Library for Python,demisto/ansible-runner
azure-mgmt-search,MIT License,https://github.com/Azure/azure-sdk-for-python,https://pypi.org/project/azure-mgmt-search/,Microsoft Corporation azpysdkhelp@microsoft.com,Microsoft Azure Search Management Client Library for Python,demisto/ansible-runner
azure-mgmt-servicebus,MIT License,https://github.com/Azure/azure-sdk-for-python,https://pypi.org/project/azure-mgmt-servicebus/,Microsoft Corporation azpysdkhelp@microsoft.com,Microsoft Azure Service Bus Management Client Library for Python,demisto/ansible-runner
azure-mgmt-sql,MIT License,https://github.com/Azure/azure-sdk-for-python,https://pypi.org/project/azure-mgmt-sql/,Microsoft Corporation azpysdkhelp@microsoft.com,Microsoft Azure SQL Management Client Library for Python,demisto/ansible-runner
azure-mgmt-storage,MIT License,https://github.com/Azure/azure-sdk-for-python,https://pypi.org/project/azure-mgmt-storage/,Microsoft Corporation azpysdkhelp@microsoft.com,Microsoft Azure Storage Management Client Library for Python,demisto/ansible-runner
azure-mgmt-trafficmanager,MIT License,https://github.com/Azure/azure-sdk-for-python,https://pypi.org/project/azure-mgmt-trafficmanager/,Microsoft Corporation azpysdkhelp@microsoft.com,Microsoft Azure Traffic Manager Management Client Library for Python,demisto/ansible-runner
azure-mgmt-web,MIT License,https://github.com/Azure/azure-sdk-for-python,https://pypi.org/project/azure-mgmt-web/,Microsoft Corporation azpysdkhelp@microsoft.com,Microsoft Azure Web Apps Management Client Library for Python,demisto/ansible-runner
azure-nspkg,MIT License,https://github.com/Azure/azure-sdk-for-python,https://pypi.org/project/azure-nspkg/,Microsoft Corporation azpysdkhelp@microsoft.com,Microsoft Azure Namespace Package [Internal],demisto/ansible-runner
azure-storage,MIT License,https://github.com/Azure/azure-sdk-for-python,https://pypi.org/project/azure-storage/,Microsoft Corporation azpysdkhelp@microsoft.com,Microsoft Azure Storage SDK for Python,demisto/ansible-runner
azure-storage-blob,MIT License,https://github.com/Azure/azure-sdk-for-python/tree/main/sdk/storage/azure-storage-blob,https://pypi.org/project/azure-storage-blob/,Microsoft Corporation ascl@microsoft.com,Microsoft Azure Blob Storage Client Library for Python,demisto/ansible-runner
Babel,BSD License,https://babel.pocoo.org/,https://pypi.org/project/babel/,Armin Ronacher armin.ronacher@active-4.com,Internationalization utilities,demisto/rubrik-polaris-sdk-py3
backoff,MIT License,https://github.com/litl/backoff,https://pypi.org/project/backoff/,Bob Green rgreen@aquent.com,Function decoration for backoff and retry,"demisto/marketo, demisto/graphql, demisto/py3-native, demisto/py3-tools, demisto/py3-tools-ubi"
backports-datetime-fromisoformat,MIT License,,https://pypi.org/project/backports-datetime-fromisoformat/,Michael Overmeyer <backports@movermeyer.com>,Backport of Python 3.11's datetime.fromisoformat,demisto/carbon-black-cloud
backports.functools-lru-cache,MIT License,https://github.com/jaraco/backports.functools_lru_cache,https://pypi.org/project/backports.functools-lru-cache/,Raymond Hettinger raymond.hettinger@gmail.com,Backport of functools.lru_cache,"demisto/dl, demisto/bs4"
bandit,Apache Software License,https://bandit.readthedocs.io/,https://pypi.org/project/bandit/,PyCQA code-quality@python.org,Security oriented static analyser for python code.,"demisto/xsoar-tools-hf, demisto/xsoar-tools, demisto/demisto-sdk"
bcrypt,Apache Software License,https://github.com/pyca/bcrypt/,https://pypi.org/project/bcrypt/,The Python Cryptographic Authority developers cryptography-dev@python.org,Modern password hashing for your software and your servers,"demisto/glpi, demisto/keepercommander, demisto/ansible-runner, demisto/xsoar-tools, demisto/netmiko, demisto/tidy, demisto/demisto-sdk"
beautifulsoup4,MIT License,http://www.crummy.com/software/BeautifulSoup/bs4/,https://pypi.org/project/beautifulsoup4/,Leonard Richardson leonardr@segfault.org,Screen-scraping library,"demisto/xmlparser, demisto/feed-parser-html, demisto/xsoar-tools-hf, demisto/smime-encrypt, demisto/feed-parser, demisto/fetch-data, demisto/bs4, demisto/ssl-analyze, demisto/azure-kusto-data, demisto/oauthlib, demisto/pyjwt3, demisto/winrm, demisto/akamai, demisto/pydantic-jwt3, demisto/python_pancloud, demisto/axonius, demisto/bs4-py3, demisto/py3-native, demisto/taxii-server, demisto/btfl-soup, demisto/taxii, demisto/sklearn, demisto/bs4-tld, demisto/teams, demisto/flask-nginx, demisto/py3-tools, demisto/xsoar-tools, demisto/crypto, demisto/python_pancloud_v2, demisto/py3ews, demisto/xml-feed, demisto/pymisp2, demisto/keeper-ksm, demisto/pytmv1, demisto/mlurlphishing, demisto/py3-tools-ubi, demisto/auth-utils, demisto/tidy, demisto/demisto-sdk"
bleach,Apache Software License,https://github.com/mozilla/bleach,https://pypi.org/project/bleach/,,An easy safelist-based HTML-sanitizing tool.,demisto/lacework
blinker,MIT License,,https://pypi.org/project/blinker/,Jason Kirtland <jek@discorporate.us>,"Fast, simple object-to-object and broadcast signaling","demisto/taxii-server, demisto/teams, demisto/flask-nginx, demisto/keepercommander"
blis,MIT License,https://github.com/explosion/cython-blis,https://pypi.org/project/blis/,Matthew Honnibal matt@explosion.ai,"The Blis BLAS-like linear algebra library, as a self-contained C-extension.","demisto/dl, demisto/dl-languages, demisto/ml"
